popularity,album_families,track_number,danceability,loudness,speechiness,tempo,duration_ms,acousticness,instrumentalness,liveness,valence,release_year
82,THE TORTURED POETS DEPARTMENT,1,0.504,-10.976,0.0308,192.004,228965,0.502,1.53e-05,0.0961,0.281,2024
79,THE TORTURED POETS DEPARTMENT,2,0.604,-8.441,0.0255,110.259,293048,0.0483,0.0,0.126,0.292,2024
80,THE TORTURED POETS DEPARTMENT,3,0.596,-7.362,0.0269,97.073,203801,0.137,0.0,0.302,0.481,2024
82,THE TORTURED POETS DEPARTMENT,4,0.541,-10.412,0.0748,159.707,261228,0.56,1e-06,0.0946,0.168,2024
80,THE TORTURED POETS DEPARTMENT,5,0.423,-11.388,0.322,160.218,262974,0.73,0.00264,0.0816,0.248,2024
81,THE TORTURED POETS DEPARTMENT,6,0.521,-7.684,0.104,79.943,340428,0.384,0.0,0.135,0.438,2024
78,THE TORTURED POETS DEPARTMENT,7,0.33,-9.394,0.0399,87.115,210789,0.624,0.0,0.111,0.34,2024
79,THE TORTURED POETS DEPARTMENT,8,0.533,-7.123,0.138,150.088,215463,0.178,0.0,0.309,0.398,2024
82,THE TORTURED POETS DEPARTMENT,9,0.626,-8.374,0.0261,94.95,254365,0.607,0.0,0.0921,0.487,2024
81,THE TORTURED POETS DEPARTMENT,10,0.606,-10.555,0.048,119.88,334084,0.315,0.0,0.106,0.238,2024
77,THE TORTURED POETS DEPARTMENT,11,0.661,-13.961,0.045,106.896,156297,0.768,1.72e-06,0.176,0.318,2024
80,THE TORTURED POETS DEPARTMENT,12,0.423,-12.56,0.0489,78.539,277156,0.858,0.0,0.108,0.195,2024
82,THE TORTURED POETS DEPARTMENT,13,0.701,-8.39,0.0502,129.994,218004,0.123,0.0,0.15,0.22,2024
81,THE TORTURED POETS DEPARTMENT,14,0.426,-9.083,0.0581,142.377,245541,0.52,0.0,0.338,0.263,2024
78,THE TORTURED POETS DEPARTMENT,15,0.64,-8.802,0.0273,100.056,196900,0.422,0.0,0.103,0.353,2024
76,THE TORTURED POETS DEPARTMENT,16,0.686,-11.046,0.0263,104.088,216662,0.636,0.00144,0.106,0.214,2024
79,THE TORTURED POETS DEPARTMENT,17,0.527,-10.855,0.038,154.042,238857,0.707,0.0,0.102,0.23,2024
81,THE TORTURED POETS DEPARTMENT,18,0.784,-9.471,0.0633,110.007,222072,0.608,0.0,0.252,0.15,2024
77,THE TORTURED POETS DEPARTMENT,19,0.352,-8.942,0.0583,172.013,183878,0.655,0.0,0.0935,0.292,2024
77,THE TORTURED POETS DEPARTMENT,20,0.516,-8.552,0.0446,70.266,213281,0.78,0.0,0.105,0.218,2024
80,THE TORTURED POETS DEPARTMENT,21,0.492,-8.859,0.0257,83.993,238706,0.785,0.00093,0.108,0.273,2024
82,THE TORTURED POETS DEPARTMENT,22,0.366,-4.514,0.0466,176.07,228800,0.0274,3.07e-06,0.106,0.293,2024
78,THE TORTURED POETS DEPARTMENT,23,0.485,-7.197,0.0346,105.953,243875,0.717,0.0,0.357,0.297,2024
76,THE TORTURED POETS DEPARTMENT,24,0.609,-8.013,0.0346,95.997,263817,0.609,0.0,0.122,0.252,2024
76,THE TORTURED POETS DEPARTMENT,25,0.763,-11.429,0.0738,90.796,131907,0.69,0.0,0.164,0.385,2024
81,THE TORTURED POETS DEPARTMENT,26,0.421,-10.359,0.0472,167.927,249807,0.825,2.67e-06,0.308,0.535,2024
76,THE TORTURED POETS DEPARTMENT,27,0.587,-9.879,0.0595,139.963,240205,0.806,0.0,0.137,0.514,2024
77,THE TORTURED POETS DEPARTMENT,28,0.342,-8.212,0.0372,176.859,283957,0.805,0.0,0.0593,0.29,2024
77,THE TORTURED POETS DEPARTMENT,29,0.455,-7.978,0.0492,183.694,238241,0.638,0.0,0.131,0.481,2024
73,THE TORTURED POETS DEPARTMENT,30,0.476,-10.601,0.03,138.265,240893,0.791,0.000423,0.1,0.158,2024
74,THE TORTURED POETS DEPARTMENT,31,0.509,-11.665,0.0306,94.184,224743,0.901,2.43e-06,0.103,0.436,2024
91,THE TORTURED POETS DEPARTMENT,1,0.504,-10.976,0.0308,192.004,228965,0.502,1.53e-05,0.0961,0.281,2024
75,THE TORTURED POETS DEPARTMENT,2,0.604,-8.441,0.0255,110.259,293048,0.0483,0.0,0.126,0.292,2024
77,THE TORTURED POETS DEPARTMENT,3,0.596,-7.362,0.0269,97.073,203801,0.137,0.0,0.302,0.481,2024
82,THE TORTURED POETS DEPARTMENT,4,0.541,-10.412,0.0748,159.707,261228,0.56,1e-06,0.0946,0.168,2024
78,THE TORTURED POETS DEPARTMENT,5,0.423,-11.388,0.322,160.218,262974,0.73,0.00264,0.0816,0.248,2024
78,THE TORTURED POETS DEPARTMENT,6,0.521,-7.684,0.104,79.943,340428,0.384,0.0,0.135,0.438,2024
69,THE TORTURED POETS DEPARTMENT,7,0.33,-9.394,0.0399,87.115,210789,0.624,0.0,0.111,0.34,2024
76,THE TORTURED POETS DEPARTMENT,8,0.533,-7.123,0.138,150.088,215463,0.178,0.0,0.309,0.398,2024
82,THE TORTURED POETS DEPARTMENT,9,0.626,-8.374,0.0261,94.95,254365,0.607,0.0,0.0921,0.487,2024
80,THE TORTURED POETS DEPARTMENT,10,0.606,-10.555,0.048,119.88,334084,0.315,0.0,0.106,0.238,2024
67,THE TORTURED POETS DEPARTMENT,11,0.661,-13.961,0.045,106.896,156297,0.768,1.72e-06,0.176,0.318,2024
75,THE TORTURED POETS DEPARTMENT,12,0.423,-12.56,0.0489,78.539,277156,0.858,0.0,0.108,0.195,2024
88,THE TORTURED POETS DEPARTMENT,13,0.701,-8.39,0.0502,129.994,218004,0.123,0.0,0.15,0.22,2024
74,THE TORTURED POETS DEPARTMENT,14,0.426,-9.083,0.0581,142.377,245541,0.52,0.0,0.338,0.263,2024
73,THE TORTURED POETS DEPARTMENT,15,0.64,-8.802,0.0273,100.056,196900,0.422,0.0,0.103,0.353,2024
67,THE TORTURED POETS DEPARTMENT,16,0.686,-11.046,0.0263,104.088,216662,0.636,0.00144,0.106,0.214,2024
62,1989,1,0.76,-4.871,0.0316,116.989,212600,0.00661,0.000133,0.325,0.685,2023
64,1989,2,0.732,-5.469,0.0645,96.035,231833,0.0901,0.0,0.331,0.71,2023
65,1989,3,0.514,-4.803,0.0444,94.884,231000,0.000456,0.0232,0.0946,0.298,2023
63,1989,4,0.544,-5.973,0.0383,91.981,235800,0.000466,0.000134,0.381,0.184,2023
62,1989,5,0.589,-5.614,0.0308,97.069,193289,0.000778,0.0,0.188,0.54,2023
62,1989,6,0.632,-5.707,0.069,160.052,219209,0.0112,2.51e-05,0.156,0.903,2023
61,1989,7,0.671,-6.568,0.0417,118.032,207650,0.00388,9.48e-06,0.0812,0.523,2023
61,1989,8,0.624,-6.347,0.159,169.999,211103,0.0369,3.13e-06,0.19,0.347,2023
63,1989,9,0.587,-7.439,0.0598,139.993,220433,0.0348,9.95e-05,0.0971,0.539,2023
61,1989,10,0.761,-5.956,0.0537,120.014,247533,0.00198,1.08e-05,0.0873,0.519,2023
60,1989,11,0.47,-8.672,0.0349,144.039,250100,0.302,0.0,0.0672,0.0524,2023
61,1989,12,0.572,-5.348,0.0574,160.015,195700,0.0846,0.0,0.071,0.626,2023
